access	/ˈækˌsɛs/	v. 获取 n. 接近，入口
project	/ˈpɹɑdʒɛkt/, /pɹəˈdʒɛkt/	n. 工程；课题、作业
intention	/ˌɪnˈtɛntʃən/	n. 打算，意图
equivalence	/ɪˈkwɪvəɫəns/	n. 等值，相等
negotiate	/nəˈɡoʊʃiˌeɪt/, /nɪˈɡoʊʃiˌeɪt/	v. 谈判，协商，交涉
disappointing	/ˌdɪsəˈpɔɪnɪŋ/, /ˌdɪsəˈpɔɪntɪŋ/	adj. 令人失望的
alternative	/ɔɫˈtɝnətɪv/	n. 代替品
generous	/ˈdʒɛnɝəs/	adj. 慷慨的
biological	/ˌbaɪəˈɫɑdʒɪkəɫ/	adj. 生物的
strategy	/ˈstɹætədʒi/	n. 策略，战略
paradox	/ˈpɛɹəˌdɑks/	n. 悖论；自相矛盾
primary	/ˈpɹaɪˌmɛɹi/	adj. 主要的，基本的
standpoint	/ˈstændˌpɔɪnt/	n. 立场
grab	/ˈɡɹæb/	v. 抢先，抢占，抢夺
crucial	/ˈkɹuʃəɫ/	adj. 至关重要的
flaw	/ˈfɫɔ/	n. 缺点；错误
depressed	/dɪˈpɹɛst/	adj. 萧条的；沮丧的
obstacle	/ˈɑbstəkəɫ/	n. 阻碍
automatic	/ˌɔtəˈmætɪk/, /ˌɔtoʊˈmætɪk/	adj. 自动的
passionate	/ˈpæʃənət/	adj. 热情的
gambling	/ˈɡæmbəɫɪŋ/, /ˈɡæmbɫɪŋ/	n. 赌博
logic	/ˈɫɑdʒɪk/	n. 逻辑
theory	/ˈθiɝi/, /ˈθɪɹi/	n. 理论
download	/ˈdaʊnˌɫoʊd/	v. 下载
signal	/ˈsɪɡnəɫ/	n. 信号 v. 发信号，打信号；示意
authoritative	/əˈθɔɹəˌteɪtɪv/	adj. 权威的
smooth	/ˈsmuð/	adj. 光滑的
institution	/ˌɪnstɪˈtuʃən/	n. 社会公共机构；制度；设立，制定
vehicle	/ˈvihɪkəɫ/, /ˈviɪkəɫ/	n. 车辆
plague	/ˈpɫeɪɡ/	v. 使困扰
psychological	/ˌsaɪkəˈɫɑdʒɪkəɫ/	adj. 心理上的
shade	/ˈʃeɪd/	n. 阴凉处
persistent	/pɝˈsɪstənt/	adj. 持续的；坚持的
voluntary	/ˈvɑɫəntɛɹi/	adj. 自愿的，主动的
tolerance	/ˈtɑɫɝəns/	n. 宽容，容忍
senior	/ˈsinjɝ/	n. 老年人
individual	/ˌɪndəˈvɪdʒəwəɫ/	n. 个人
contemporary	/kənˈtɛmpɝˌɛɹi/	adj. 当代的，现代的
opposite	/ˈɑpəzət/, /ˈɑpzət/	adj. 相反的
specialize	/ˈspɛʃəˌɫaɪz/	v. 专业从事
content	/ˈkɑntɛnt/, /kənˈtɛnt/	n. 内容
philosopher	/fəˈɫɑsəfɝ/	n. 哲学家
unrest	/ənˈɹɛst/	n. 不安定，动荡
startle	/ˈstɑɹtəɫ/	v. 吃惊
emission	/ɪˈmɪʃən/	n. 排放，辐射
overweight	/ˌoʊvɝˈweɪt/	adj. 超重的
occupation	/ˌɑkjəˈpeɪʃən/	n. 职业，工作
mainstream	/ˈmeɪnˌstɹim/	n. 主流
scholarship	/ˈskɑɫɝˌʃɪp/	n. 奖学金
contract	/ˈkɑnˌtɹækt/, /kənˈtɹækt/	n. 合同
cheek	/ˈtʃik/	n. 脸颊
interdependence	/ˌɪntɝdəˈpɛndəns/	n. 相互依靠
import	/ˈɪmˌpɔɹt/, /ˌɪmˈpɔɹt/	n. 进口 v. 进口
fiction	/ˈfɪkʃən/	n. 小说，虚构的文学作品
upbringing	/ˈəpˌbɹɪŋɪŋ/	n. 养育，培养，教养
preserve	/pɹəˈzɝv/, /pɹiˈzɝv/, /pɹɪˈzɝv/	v. 保护
vitally	/ˈvaɪtəɫi/	adv. 极其重要地
masculine	/ˈmæskjəɫən/	adj. 男性的
advocate	/ˈædvəˌkeɪt/, /ˈædvəkət/	v. 倡导 n. 提倡者，拥护者，鼓吹者
dust	/ˈdəst/	n. 灰尘
track	/ˈtɹæk/	n. 足迹 v. 追踪，〔循着踪迹、气味等〕找寻
confidence	/ˈkɑnfədəns/	n. 信心
riotous	/ˈɹaɪətəs/	adj. 狂暴的
sophisticated	/səˈfɪstəˌkeɪtɪd/, /səˈfɪstɪˌkeɪtəd/	adj. 复杂的；世故的
similar	/ˈsɪməɫɝ/	adj. 相似的
transform	/ˈtɹænsfɔɹm/, /tɹænsˈfɔɹm/	v. 改变
approve	/əˈpɹuv/	v. 赞成，同意
session	/ˈsɛʃən/	n. 开会，会议
awareness	/əˈwɛɹnəs/	n. 意识
exhaust	/ɪɡˈzɔst/	v. 使筋疲力尽
subsidize	/ˈsəbsɪˌdaɪz/	v. 提供补贴
grocery	/ˈɡɹoʊsɝi/, /ˈɡɹoʊsɹi/	n. 杂货店
ignorance	/ˈɪɡnɝəns/	n. 无知，愚昧
intelligence	/ˌɪnˈtɛɫədʒəns/	n. 智力，智慧，理解力
tiny	/ˈtaɪni/	adj. 微小的
praise	/ˈpɹeɪz/	v. 赞扬，赞美
memorize	/ˈmɛmɝˌaɪz/	v. 熟记，牢记
relative	/ˈɹɛɫətɪv/	adj. 相对的 n. 亲戚
breakthrough	/ˈbɹeɪkˌθɹu/	n. 突破
incidence	/ˈɪnsədəns/, /ˈɪnsɪdəns/	n. 几率，发生率
scratch	/ˈskɹætʃ/	n. 抓，划痕
harmful	/ˈhɑɹmfəɫ/	adj. 有害的
undergo	/ˌəndɝˈɡoʊ/	v. 承受
recession	/ˌɹiˈsɛʃən/, /ɹɪˈsɛʃən/	n. 衰退
extraordinary	/ˌɛkstɹəˈɔɹdəˌnɛɹi/, /ɪkˈstɹɔɹdəˌnɛɹi/	adj. 非凡的
improper	/ˌɪmˈpɹɑpɝ/	adj. 不合适的，不适当的
marginalize	/ˈmɑɹdʒənəˌɫaɪz/	v. 边缘化，排斥
vital	/ˈvaɪtəɫ/	adj. 重要的
fortunately	/ˈfɔɹtʃənətɫi/, /ˈfɔɹtʃunətɫi/	adv. 幸运地
commencement	/kəˈmɛnsmənt/	n. 毕业典礼
fetch	/ˈfɛtʃ/	v. 取回
clumsy	/ˈkɫəmzi/	adj. 笨拙的，不圆滑的
establishment	/ɪˈstæbɫɪʃmənt/	n. 确立
emit	/ɪˈmɪt/	v. 发出，排出
entertaining	/ˌɛnɝˈteɪnɪŋ/, /ˌɛntɝˈteɪnɪŋ/	adj. 有趣的，使人愉快的
irregular	/ˌɪˈɹɛɡjəɫɝ/	adj. 不规律的
psychologist	/saɪˈkɑɫədʒəst/	n. 心理学家
era	/ˈɛɹə/, /ˈɪɹə/	n. 纪元，年代
triumph	/ˈtɹaɪəmf/	n. 胜利
detection	/dɪˈtɛkʃən/	n. 侦查；察觉
cozy	/ˈkoʊzi/	adj. 舒适的
gallery	/ˈɡæɫɝi/	n. 美术馆
enormous	/iˈnɔɹməs/, /iˈnɔɹmɪs/, /ɪˈnɔɹməs/, /ɪˈnɔɹmɪs/	adj. 巨大的
obtain	/əbˈteɪn/	v. 获得
desert	/ˈdɛzɝt/, /dɪˈzɝt/	v. 抛弃
aviate	v. 驾驶飞机
determine	/dəˈtɝmən/, /dɪˈtɝmən/	v. 决定；下决心
disappear	/ˌdɪsəˈpiɹ/, /ˌdɪsəˈpɪɹ/	v. 不见，消失
entitle	/ɛnˈtaɪtəɫ/, /ɪnˈtaɪtəɫ/	v. 使具有权利，使具有资格
relieve	/ɹiˈɫiv/, /ɹɪˈɫiv/	v. 解除，减轻，缓解
generosity	/ˌdʒɛnɝˈɑsəti/	n. 慷慨，大方
colleague	/ˈkɑɫiɡ/	n. 同事
undertake	/ˈəndɝˌteɪk/	v. 承担
convenient	/kənˈvinjənt/	adj. 方便的
preferentially	/ˌpɹɛfɝˈɛnʃəɫi/	adv. 优先地
column	/ˈkɑɫəm/	n. 专栏
affectionate	/əˈfɛkʃənət/, /əˈfɛkʃənɪt/	adj. 深情的，柔情的
issue	/ˈɪʃu/	v. 发表〔声明〕 n. 问题
inquire	/ˌɪnˈkwaɪɹ/	v. 询问
groundlessly	adv. 无缘无故地，无根据地
independently	/ˌɪndɪˈpɛndəntɫi/	adv. 独立地
approach	/əˈpɹoʊtʃ/	v. 靠近 n. 方法
administration	/ædˌmɪnɪˈstɹeɪʃən/	n. 管理；〔某一时期的〕政府
adversity	/ædˈvɝsɪˌti/, /ədˈvɝsɪti/	n. 逆境，不幸
technician	/tɛkˈnɪʃən/	n. 技术员，技师
regular	/ˈɹeɪɡjəɫɝ/, /ˈɹɛɡjəɫɝ/	adj. 有规律的，经常的
miscalculation	/mɪˈskæɫkjəˈɫeɪʃən/	n. 算错，误算
hinder	/ˈhɪndɝ/	v. 阻碍
selection	/səˈɫɛkʃən/	n. 选择，挑选
tide	/ˈtaɪd/	n. 潮水
superior	/suˈpɪɹiɝ/	adj. 上级的，较高的 n. 上级，长官
matter	/ˈmætɝ/	v. 要紧，重要
passively	/ˈpæsɪvɫi/	adv. 消极地
grant	/ˈɡɹænt/	v. 授予；允许
liberation	/ˌɫɪˌbɝˈeɪʃən/	n. 解放
observe	/əbˈzɝv/	v. 遵守
institute	/ˈɪnstəˌtut/	v. 建立 n. 〔从事科研或教育等的〕机构；学院；研究院
dormitory	/ˈdɔɹməˌtɔɹi/	n. 宿舍
awful	/ˈɑfəɫ/, /ˈɔfəɫ/	adj. 可怕的，骇人的
emergency	/ˈimɝdʒənsi/, /ɪˈmɝdʒənsi/	n. 紧急情况
stress	/ˈstɹɛs/	n. 压力；重音
launch	/ˈɫɔntʃ/	v. 发动
suppose	/səˈpoʊz/	v. 料想，以为；假定；期望
remove	/ɹiˈmuv/	v. 消除，移除
exposure	/ɪkˈspoʊʒɝ/	n. 暴露；揭露
promote	/pɹəˈmoʊt/	v. 促进，提升；推销
engage	/ɛnˈɡeɪdʒ/	v. 从事；吸引
uncertain	/ənˈsɝtən/	adj. 不确定的
accommodate	/əˈkɑməˌdeɪt/	v. 为…提供住宿
slave	/ˈsɫeɪv/	n. 奴隶
mature	/məˈtʃʊɹ/, /mətˈjʊɹ/	adj. 成熟的
contrast	/ˈkɑntɹæst/, /kənˈtɹæst/	n. 对照物 v. 对比
clinic	/ˈkɫɪnɪk/	n. 诊所
award	/əˈwɔɹd/	v. 授予；判给 n. 奖(金)
worthwhile	/ˈwɝθˈwaɪɫ/	adj. 有价值的
cruelty	/ˈkɹuəɫti/, /ˈkɹuɫti/	n. 残暴，残酷
threaten	/ˈθɹɛtən/	v. 威胁
chemical	/ˈkɛməkəɫ/, /ˈkɛmɪkəɫ/	adj. 化学的 n. 化学制品
consistent	/kənˈsɪstənt/	adj. 一致的
renew	/ɹɪˈnu/	v. 〔中止后〕重新开始，继续
takeoff	/ˈteɪˌkɔf/	n. 起飞
innocent	/ˈɪnəsənt/	adj. 无辜的；天真的
currently	/ˈkɝəntɫi/	adv. 当前；一般地
dropout	/ˈdɹɑˌpaʊt/	n. 辍学者
replace	/ˌɹiˈpɫeɪs/, /ɝˈpɫeɪs/	v. 代替
sightseeing	/ˈsaɪtˈsiɪŋ/	n. 观光
honor	/ˈɑnɝ/	n. 荣誉；崇敬，敬重，敬意
imitate	/ˈɪməˌteɪt/	v. 模仿
installment	/ˌɪnˈstɔɫmənt/	n. 分期付款
personality	/ˌpɝsəˈnæɫɪti/	n. 个性，性格
headquarter	/ˈhɛdˌkɔɹtɝ/, /ˈhɛdˌkwɔɹtɝ/	v. 设立总部，在…设立总部
